Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Mossfire Valley,Mossfire Valley,Commander Legends: Battle for Baldur's Gate,901,CLB,Normal,Near Mint,English,Rare,273784,5658751
1,Aqueous Form,Aqueous Form,Theros,39,THS,Normal,Near Mint,English,Common,71316,1133783
1,Ferocious Pup,Ferocious Pup,Core Set 2020,171,M20,Normal,Near Mint,English,Common,192619,4100524
1,"Kaya, Bane of the Dead","Kaya, Bane of the Dead",War of the Spark,231,WAR,Normal,Near Mint,English,Uncommon,187180,3989902
1,Rowan's Grim Search,Rowan's Grim Search,Wilds of Eldraine,104,WOE,Normal,Near Mint,English,Common,512210,7357192
1,Red Sun's Twilight,Red Sun's Twilight,Phyrexia: All Will Be One,145,ONE,Normal,Near Mint,English,Rare,479613,6964999
3,Glass Casket,Glass Casket,Wilds of Eldraine,16,WOE,Normal,Near Mint,English,Uncommon,512190,7356267
1,"Bosh, Iron Golem","Bosh, Iron Golem",Commander 2018,198,C18,Normal,Near Mint,English,Rare,171110,3808313
1,Invasion of Kaladesh,Invasion of Kaladesh,March of the Machine,234,MOM,Normal,Near Mint,English,Uncommon,490504,7052356
1,Seize the Day,Seize the Day,Odyssey,220,ODY,Normal,Near Mint,English,Rare,9495,22297
1,Buried Alive,Buried Alive,Commander,74,CMD,Normal,Near Mint,English,Uncommon,47507,471796
2,Kaleidoscorch,Kaleidoscorch,Modern Horizons 2,133,MH2,Normal,Near Mint,English,Uncommon,240307,4997135
1,Kargan Dragonrider,Kargan Dragonrider,Magic Game Night 2019,40,GN2,Normal,Near Mint,English,Common,201583,4259020
1,Karsus Depthguard,Karsus Depthguard,March of the Machine,150,MOM,Normal,Near Mint,English,Common,491723,7086133
1,Keldon Raider,Keldon Raider,Jumpstart 2022,563,J22,Normal,Near Mint,English,Common,455667,6765355
1,Khenra Spellspear,Khenra Spellspear,March of the Machine,151,MOM,Normal,Near Mint,English,Uncommon,490762,7060693
1,Kindled Heroism,Kindled Heroism,Wilds of Eldraine,138,WOE,Normal,Near Mint,English,Common,513936,7403407
1,Oath of Eorl (Showcase Scrolls),Oath of Eorl,Commander: The Lord of the Rings: Tales of Middle-earth,471,LTC,Normal,Near Mint,English,Rare,526001,7539287
1,Korvold and the Noble Thief,Korvold and the Noble Thief,Wilds of Eldraine,139,WOE,Normal,Near Mint,English,Uncommon,512655,7370920
1,Kumano Faces Kakkazan,Kumano Faces Kakkazan,Kamigawa: Neon Dynasty,152,NEO,Normal,Near Mint,English,Uncommon,262776,5413508
1,"Lathliss, Dragon Queen","Lathliss, Dragon Queen",Jumpstart,340,JMP,Normal,Near Mint,English,Rare,216655,4478674
1,Lesser Gargadon,Lesser Gargadon,Prophecy,97,PCY,Normal,Near Mint,English,Uncommon,7327,20793
1,Leyline Tyrant,Leyline Tyrant,Zendikar Rising,147,ZNR,Normal,Near Mint,English,Mythic,222066,4565417
1,Light 'Em Up,Light 'Em Up,Promo Pack: Streets of New Capenna,466,PPSNC,Normal,Near Mint,English,Common,269148,5528923
1,Light Up the Stage,Light Up the Stage,The List Reprints,RNA-107,LIST,Normal,Near Mint,English,Uncommon,222737,4590645
1,Seed of Hope,Seed of Hope,March of the Machine,204,MOM,Normal,Near Mint,English,Common,491471,7075610
1,Silverback Shaman,Silverback Shaman,Commander Legends,255,CMR,Normal,Near Mint,English,Common,227214,4669970
